agreement	disagreement	correct_verb	incorrect_verb	subject_index	verb_index	number1	completed
De boer naast Jim verleidt	De boer naast Jim verleiden	verleidt	verleiden	1	4	singular	De boer naast Jim verleidt de persoon.
De boer naast Jim mist	De boer naast Jim missen	mist	missen	1	4	singular	De boer naast Jim mist de persoon.
De boer naast Jim hoort	De boer naast Jim horen	hoort	horen	1	4	singular	De boer naast Jim hoort de persoon.
De boer naast Jim onderzoekt	De boer naast Jim onderzoeken	onderzoekt	onderzoeken	1	4	singular	De boer naast Jim onderzoekt de persoon.
De boer naast Jim bekritiseert	De boer naast Jim bekritiseren	bekritiseert	bekritiseren	1	4	singular	De boer naast Jim bekritiseert de persoon.
De boer naast Jim stimuleert	De boer naast Jim stimuleren	stimuleert	stimuleren	1	4	singular	De boer naast Jim stimuleert de persoon.
De boer naast Jim vermijdt	De boer naast Jim vermijden	vermijdt	vermijden	1	4	singular	De boer naast Jim vermijdt de persoon.
De boer naast Jim groet	De boer naast Jim groeten	groet	groeten	1	4	singular	De boer naast Jim groet de persoon.
De boer naast Jim herkent	De boer naast Jim herkennen	herkent	herkennen	1	4	singular	De boer naast Jim herkent de persoon.
De boer naast Jim roept	De boer naast Jim roepen	roept	roepen	1	4	singular	De boer naast Jim roept de persoon.
De boer naast Sue kent	De boer naast Sue kennen	kent	kennen	1	4	singular	De boer naast Sue kent de persoon.
De boer naast Sue ziet	De boer naast Sue zien	ziet	zien	1	4	singular	De boer naast Sue ziet de persoon.
De boer naast Sue vertrouwt	De boer naast Sue vertrouwen	vertrouwt	vertrouwen	1	4	singular	De boer naast Sue vertrouwt de persoon.
De boer naast Sue begrijpt	De boer naast Sue begrijpen	begrijpt	begrijpen	1	4	singular	De boer naast Sue begrijpt de persoon.
De boer naast Sue verleidt	De boer naast Sue verleiden	verleidt	verleiden	1	4	singular	De boer naast Sue verleidt de persoon.
De boer naast Sue mist	De boer naast Sue missen	mist	missen	1	4	singular	De boer naast Sue mist de persoon.
De boer naast Sue hoort	De boer naast Sue horen	hoort	horen	1	4	singular	De boer naast Sue hoort de persoon.
De boer naast Sue onderzoekt	De boer naast Sue onderzoeken	onderzoekt	onderzoeken	1	4	singular	De boer naast Sue onderzoekt de persoon.
De boer naast Sue bekritiseert	De boer naast Sue bekritiseren	bekritiseert	bekritiseren	1	4	singular	De boer naast Sue bekritiseert de persoon.
De boer naast Sue stimuleert	De boer naast Sue stimuleren	stimuleert	stimuleren	1	4	singular	De boer naast Sue stimuleert de persoon.
De boer naast Sue vermijdt	De boer naast Sue vermijden	vermijdt	vermijden	1	4	singular	De boer naast Sue vermijdt de persoon.
De boer naast Sue groet	De boer naast Sue groeten	groet	groeten	1	4	singular	De boer naast Sue groet de persoon.
De boer naast Sue herkent	De boer naast Sue herkennen	herkent	herkennen	1	4	singular	De boer naast Sue herkent de persoon.
De boer naast Sue roept	De boer naast Sue roepen	roept	roepen	1	4	singular	De boer naast Sue roept de persoon.
De boer naast Mary kent	De boer naast Mary kennen	kent	kennen	1	4	singular	De boer naast Mary kent de persoon.
De boer naast Mary ziet	De boer naast Mary zien	ziet	zien	1	4	singular	De boer naast Mary ziet de persoon.
De boer naast Mary vertrouwt	De boer naast Mary vertrouwen	vertrouwt	vertrouwen	1	4	singular	De boer naast Mary vertrouwt de persoon.
De boer naast Mary begrijpt	De boer naast Mary begrijpen	begrijpt	begrijpen	1	4	singular	De boer naast Mary begrijpt de persoon.
De boer naast Mary verleidt	De boer naast Mary verleiden	verleidt	verleiden	1	4	singular	De boer naast Mary verleidt de persoon.
De boer naast Mary mist	De boer naast Mary missen	mist	missen	1	4	singular	De boer naast Mary mist de persoon.
De boer naast Mary hoort	De boer naast Mary horen	hoort	horen	1	4	singular	De boer naast Mary hoort de persoon.
De boer naast Mary onderzoekt	De boer naast Mary onderzoeken	onderzoekt	onderzoeken	1	4	singular	De boer naast Mary onderzoekt de persoon.
De boer naast Mary bekritiseert	De boer naast Mary bekritiseren	bekritiseert	bekritiseren	1	4	singular	De boer naast Mary bekritiseert de persoon.
De boer naast Mary stimuleert	De boer naast Mary stimuleren	stimuleert	stimuleren	1	4	singular	De boer naast Mary stimuleert de persoon.
De boer naast Mary vermijdt	De boer naast Mary vermijden	vermijdt	vermijden	1	4	singular	De boer naast Mary vermijdt de persoon.
De boer naast Mary groet	De boer naast Mary groeten	groet	groeten	1	4	singular	De boer naast Mary groet de persoon.
De boer naast Mary herkent	De boer naast Mary herkennen	herkent	herkennen	1	4	singular	De boer naast Mary herkent de persoon.
De boer naast Mary roept	De boer naast Mary roepen	roept	roepen	1	4	singular	De boer naast Mary roept de persoon.
De boer naast Linda kent	De boer naast Linda kennen	kent	kennen	1	4	singular	De boer naast Linda kent de persoon.
De boer naast Linda ziet	De boer naast Linda zien	ziet	zien	1	4	singular	De boer naast Linda ziet de persoon.
De boer naast Linda vertrouwt	De boer naast Linda vertrouwen	vertrouwt	vertrouwen	1	4	singular	De boer naast Linda vertrouwt de persoon.
De boer naast Linda begrijpt	De boer naast Linda begrijpen	begrijpt	begrijpen	1	4	singular	De boer naast Linda begrijpt de persoon.
De boer naast Linda verleidt	De boer naast Linda verleiden	verleidt	verleiden	1	4	singular	De boer naast Linda verleidt de persoon.
De boer naast Linda mist	De boer naast Linda missen	mist	missen	1	4	singular	De boer naast Linda mist de persoon.
De boer naast Linda hoort	De boer naast Linda horen	hoort	horen	1	4	singular	De boer naast Linda hoort de persoon.
De boer naast Linda onderzoekt	De boer naast Linda onderzoeken	onderzoekt	onderzoeken	1	4	singular	De boer naast Linda onderzoekt de persoon.
De boer naast Linda bekritiseert	De boer naast Linda bekritiseren	bekritiseert	bekritiseren	1	4	singular	De boer naast Linda bekritiseert de persoon.
De boer naast Linda stimuleert	De boer naast Linda stimuleren	stimuleert	stimuleren	1	4	singular	De boer naast Linda stimuleert de persoon.
De boer naast Linda vermijdt	De boer naast Linda vermijden	vermijdt	vermijden	1	4	singular	De boer naast Linda vermijdt de persoon.
De boer naast Linda groet	De boer naast Linda groeten	groet	groeten	1	4	singular	De boer naast Linda groet de persoon.
De boer naast Linda herkent	De boer naast Linda herkennen	herkent	herkennen	1	4	singular	De boer naast Linda herkent de persoon.
De boer naast Linda roept	De boer naast Linda roepen	roept	roepen	1	4	singular	De boer naast Linda roept de persoon.
De boer naast Barbara kent	De boer naast Barbara kennen	kent	kennen	1	4	singular	De boer naast Barbara kent de persoon.
De boer naast Barbara ziet	De boer naast Barbara zien	ziet	zien	1	4	singular	De boer naast Barbara ziet de persoon.
De boer naast Barbara vertrouwt	De boer naast Barbara vertrouwen	vertrouwt	vertrouwen	1	4	singular	De boer naast Barbara vertrouwt de persoon.
De boer naast Barbara begrijpt	De boer naast Barbara begrijpen	begrijpt	begrijpen	1	4	singular	De boer naast Barbara begrijpt de persoon.
De boer naast Barbara verleidt	De boer naast Barbara verleiden	verleidt	verleiden	1	4	singular	De boer naast Barbara verleidt de persoon.
De boer naast Barbara mist	De boer naast Barbara missen	mist	missen	1	4	singular	De boer naast Barbara mist de persoon.
De boer naast Barbara hoort	De boer naast Barbara horen	hoort	horen	1	4	singular	De boer naast Barbara hoort de persoon.
De boer naast Barbara onderzoekt	De boer naast Barbara onderzoeken	onderzoekt	onderzoeken	1	4	singular	De boer naast Barbara onderzoekt de persoon.
De boer naast Barbara bekritiseert	De boer naast Barbara bekritiseren	bekritiseert	bekritiseren	1	4	singular	De boer naast Barbara bekritiseert de persoon.
De boer naast Barbara stimuleert	De boer naast Barbara stimuleren	stimuleert	stimuleren	1	4	singular	De boer naast Barbara stimuleert de persoon.
De boer naast Barbara vermijdt	De boer naast Barbara vermijden	vermijdt	vermijden	1	4	singular	De boer naast Barbara vermijdt de persoon.
De boer naast Barbara groet	De boer naast Barbara groeten	groet	groeten	1	4	singular	De boer naast Barbara groet de persoon.
De boer naast Barbara herkent	De boer naast Barbara herkennen	herkent	herkennen	1	4	singular	De boer naast Barbara herkent de persoon.
De boer naast Barbara roept	De boer naast Barbara roepen	roept	roepen	1	4	singular	De boer naast Barbara roept de persoon.
De boer op John kent	De boer op John kennen	kent	kennen	1	4	singular	De boer op John kent de persoon.
De boer op John ziet	De boer op John zien	ziet	zien	1	4	singular	De boer op John ziet de persoon.
De boer op John vertrouwt	De boer op John vertrouwen	vertrouwt	vertrouwen	1	4	singular	De boer op John vertrouwt de persoon.
De boer op John begrijpt	De boer op John begrijpen	begrijpt	begrijpen	1	4	singular	De boer op John begrijpt de persoon.
De boer op John verleidt	De boer op John verleiden	verleidt	verleiden	1	4	singular	De boer op John verleidt de persoon.
De boer op John mist	De boer op John missen	mist	missen	1	4	singular	De boer op John mist de persoon.
De boer op John hoort	De boer op John horen	hoort	horen	1	4	singular	De boer op John hoort de persoon.
De boer op John onderzoekt	De boer op John onderzoeken	onderzoekt	onderzoeken	1	4	singular	De boer op John onderzoekt de persoon.
De boer op John bekritiseert	De boer op John bekritiseren	bekritiseert	bekritiseren	1	4	singular	De boer op John bekritiseert de persoon.
De boer op John stimuleert	De boer op John stimuleren	stimuleert	stimuleren	1	4	singular	De boer op John stimuleert de persoon.
De boer op John vermijdt	De boer op John vermijden	vermijdt	vermijden	1	4	singular	De boer op John vermijdt de persoon.
De boer op John groet	De boer op John groeten	groet	groeten	1	4	singular	De boer op John groet de persoon.
De boer op John herkent	De boer op John herkennen	herkent	herkennen	1	4	singular	De boer op John herkent de persoon.
De boer op John roept	De boer op John roepen	roept	roepen	1	4	singular	De boer op John roept de persoon.
De boer op Mike kent	De boer op Mike kennen	kent	kennen	1	4	singular	De boer op Mike kent de persoon.
De boer op Mike ziet	De boer op Mike zien	ziet	zien	1	4	singular	De boer op Mike ziet de persoon.
De boer op Mike vertrouwt	De boer op Mike vertrouwen	vertrouwt	vertrouwen	1	4	singular	De boer op Mike vertrouwt de persoon.
De boer op Mike begrijpt	De boer op Mike begrijpen	begrijpt	begrijpen	1	4	singular	De boer op Mike begrijpt de persoon.
De boer op Mike verleidt	De boer op Mike verleiden	verleidt	verleiden	1	4	singular	De boer op Mike verleidt de persoon.
De boer op Mike mist	De boer op Mike missen	mist	missen	1	4	singular	De boer op Mike mist de persoon.
De boer op Mike hoort	De boer op Mike horen	hoort	horen	1	4	singular	De boer op Mike hoort de persoon.
De boer op Mike onderzoekt	De boer op Mike onderzoeken	onderzoekt	onderzoeken	1	4	singular	De boer op Mike onderzoekt de persoon.
De boer op Mike bekritiseert	De boer op Mike bekritiseren	bekritiseert	bekritiseren	1	4	singular	De boer op Mike bekritiseert de persoon.
De boer op Mike stimuleert	De boer op Mike stimuleren	stimuleert	stimuleren	1	4	singular	De boer op Mike stimuleert de persoon.
De boer op Mike vermijdt	De boer op Mike vermijden	vermijdt	vermijden	1	4	singular	De boer op Mike vermijdt de persoon.
De boer op Mike groet	De boer op Mike groeten	groet	groeten	1	4	singular	De boer op Mike groet de persoon.
De boer op Mike herkent	De boer op Mike herkennen	herkent	herkennen	1	4	singular	De boer op Mike herkent de persoon.
De boer op Mike roept	De boer op Mike roepen	roept	roepen	1	4	singular	De boer op Mike roept de persoon.
De boer op Bob kent	De boer op Bob kennen	kent	kennen	1	4	singular	De boer op Bob kent de persoon.
De boer op Bob ziet	De boer op Bob zien	ziet	zien	1	4	singular	De boer op Bob ziet de persoon.
De boer op Bob vertrouwt	De boer op Bob vertrouwen	vertrouwt	vertrouwen	1	4	singular	De boer op Bob vertrouwt de persoon.
De boer op Bob begrijpt	De boer op Bob begrijpen	begrijpt	begrijpen	1	4	singular	De boer op Bob begrijpt de persoon.
De boer op Bob verleidt	De boer op Bob verleiden	verleidt	verleiden	1	4	singular	De boer op Bob verleidt de persoon.
De boer op Bob mist	De boer op Bob missen	mist	missen	1	4	singular	De boer op Bob mist de persoon.
De boer op Bob hoort	De boer op Bob horen	hoort	horen	1	4	singular	De boer op Bob hoort de persoon.
De boer op Bob onderzoekt	De boer op Bob onderzoeken	onderzoekt	onderzoeken	1	4	singular	De boer op Bob onderzoekt de persoon.
De boer op Bob bekritiseert	De boer op Bob bekritiseren	bekritiseert	bekritiseren	1	4	singular	De boer op Bob bekritiseert de persoon.
De boer op Bob stimuleert	De boer op Bob stimuleren	stimuleert	stimuleren	1	4	singular	De boer op Bob stimuleert de persoon.
De boer op Bob vermijdt	De boer op Bob vermijden	vermijdt	vermijden	1	4	singular	De boer op Bob vermijdt de persoon.
De boer op Bob groet	De boer op Bob groeten	groet	groeten	1	4	singular	De boer op Bob groet de persoon.
De boer op Bob herkent	De boer op Bob herkennen	herkent	herkennen	1	4	singular	De boer op Bob herkent de persoon.
De boer op Bob roept	De boer op Bob roepen	roept	roepen	1	4	singular	De boer op Bob roept de persoon.
De boer op Pat kent	De boer op Pat kennen	kent	kennen	1	4	singular	De boer op Pat kent de persoon.
De boer op Pat ziet	De boer op Pat zien	ziet	zien	1	4	singular	De boer op Pat ziet de persoon.
De boer op Pat vertrouwt	De boer op Pat vertrouwen	vertrouwt	vertrouwen	1	4	singular	De boer op Pat vertrouwt de persoon.
De boer op Pat begrijpt	De boer op Pat begrijpen	begrijpt	begrijpen	1	4	singular	De boer op Pat begrijpt de persoon.
De boer op Pat verleidt	De boer op Pat verleiden	verleidt	verleiden	1	4	singular	De boer op Pat verleidt de persoon.
De boer op Pat mist	De boer op Pat missen	mist	missen	1	4	singular	De boer op Pat mist de persoon.
De boer op Pat hoort	De boer op Pat horen	hoort	horen	1	4	singular	De boer op Pat hoort de persoon.
De boer op Pat onderzoekt	De boer op Pat onderzoeken	onderzoekt	onderzoeken	1	4	singular	De boer op Pat onderzoekt de persoon.
De boer op Pat bekritiseert	De boer op Pat bekritiseren	bekritiseert	bekritiseren	1	4	singular	De boer op Pat bekritiseert de persoon.
De boer op Pat stimuleert	De boer op Pat stimuleren	stimuleert	stimuleren	1	4	singular	De boer op Pat stimuleert de persoon.
De boer op Pat vermijdt	De boer op Pat vermijden	vermijdt	vermijden	1	4	singular	De boer op Pat vermijdt de persoon.
De boer op Pat groet	De boer op Pat groeten	groet	groeten	1	4	singular	De boer op Pat groet de persoon.
De boer op Pat herkent	De boer op Pat herkennen	herkent	herkennen	1	4	singular	De boer op Pat herkent de persoon.
De boer op Pat roept	De boer op Pat roepen	roept	roepen	1	4	singular	De boer op Pat roept de persoon.
De boer op Bill kent	De boer op Bill kennen	kent	kennen	1	4	singular	De boer op Bill kent de persoon.
De boer op Bill ziet	De boer op Bill zien	ziet	zien	1	4	singular	De boer op Bill ziet de persoon.
De boer op Bill vertrouwt	De boer op Bill vertrouwen	vertrouwt	vertrouwen	1	4	singular	De boer op Bill vertrouwt de persoon.
De boer op Bill begrijpt	De boer op Bill begrijpen	begrijpt	begrijpen	1	4	singular	De boer op Bill begrijpt de persoon.
De boer op Bill verleidt	De boer op Bill verleiden	verleidt	verleiden	1	4	singular	De boer op Bill verleidt de persoon.
De boer op Bill mist	De boer op Bill missen	mist	missen	1	4	singular	De boer op Bill mist de persoon.
De boer op Bill hoort	De boer op Bill horen	hoort	horen	1	4	singular	De boer op Bill hoort de persoon.
De boer op Bill onderzoekt	De boer op Bill onderzoeken	onderzoekt	onderzoeken	1	4	singular	De boer op Bill onderzoekt de persoon.
De boer op Bill bekritiseert	De boer op Bill bekritiseren	bekritiseert	bekritiseren	1	4	singular	De boer op Bill bekritiseert de persoon.
De boer op Bill stimuleert	De boer op Bill stimuleren	stimuleert	stimuleren	1	4	singular	De boer op Bill stimuleert de persoon.
De boer op Bill vermijdt	De boer op Bill vermijden	vermijdt	vermijden	1	4	singular	De boer op Bill vermijdt de persoon.
De boer op Bill groet	De boer op Bill groeten	groet	groeten	1	4	singular	De boer op Bill groet de persoon.
De boer op Bill herkent	De boer op Bill herkennen	herkent	herkennen	1	4	singular	De boer op Bill herkent de persoon.
De boer op Bill roept	De boer op Bill roepen	roept	roepen	1	4	singular	De boer op Bill roept de persoon.
De boer op Jim kent	De boer op Jim kennen	kent	kennen	1	4	singular	De boer op Jim kent de persoon.
De boer op Jim ziet	De boer op Jim zien	ziet	zien	1	4	singular	De boer op Jim ziet de persoon.
De boer op Jim vertrouwt	De boer op Jim vertrouwen	vertrouwt	vertrouwen	1	4	singular	De boer op Jim vertrouwt de persoon.
De boer op Jim begrijpt	De boer op Jim begrijpen	begrijpt	begrijpen	1	4	singular	De boer op Jim begrijpt de persoon.
De boer op Jim verleidt	De boer op Jim verleiden	verleidt	verleiden	1	4	singular	De boer op Jim verleidt de persoon.
De boer op Jim mist	De boer op Jim missen	mist	missen	1	4	singular	De boer op Jim mist de persoon.
De boer op Jim hoort	De boer op Jim horen	hoort	horen	1	4	singular	De boer op Jim hoort de persoon.
De boer op Jim onderzoekt	De boer op Jim onderzoeken	onderzoekt	onderzoeken	1	4	singular	De boer op Jim onderzoekt de persoon.
De boer op Jim bekritiseert	De boer op Jim bekritiseren	bekritiseert	bekritiseren	1	4	singular	De boer op Jim bekritiseert de persoon.
De boer op Jim stimuleert	De boer op Jim stimuleren	stimuleert	stimuleren	1	4	singular	De boer op Jim stimuleert de persoon.
De boer op Jim vermijdt	De boer op Jim vermijden	vermijdt	vermijden	1	4	singular	De boer op Jim vermijdt de persoon.
De boer op Jim groet	De boer op Jim groeten	groet	groeten	1	4	singular	De boer op Jim groet de persoon.
De boer op Jim herkent	De boer op Jim herkennen	herkent	herkennen	1	4	singular	De boer op Jim herkent de persoon.
De boer op Jim roept	De boer op Jim roepen	roept	roepen	1	4	singular	De boer op Jim roept de persoon.
De boer op Sue kent	De boer op Sue kennen	kent	kennen	1	4	singular	De boer op Sue kent de persoon.
De boer op Sue ziet	De boer op Sue zien	ziet	zien	1	4	singular	De boer op Sue ziet de persoon.
De boer op Sue vertrouwt	De boer op Sue vertrouwen	vertrouwt	vertrouwen	1	4	singular	De boer op Sue vertrouwt de persoon.
De boer op Sue begrijpt	De boer op Sue begrijpen	begrijpt	begrijpen	1	4	singular	De boer op Sue begrijpt de persoon.
De boer op Sue verleidt	De boer op Sue verleiden	verleidt	verleiden	1	4	singular	De boer op Sue verleidt de persoon.
De boer op Sue mist	De boer op Sue missen	mist	missen	1	4	singular	De boer op Sue mist de persoon.
De boer op Sue hoort	De boer op Sue horen	hoort	horen	1	4	singular	De boer op Sue hoort de persoon.
De boer op Sue onderzoekt	De boer op Sue onderzoeken	onderzoekt	onderzoeken	1	4	singular	De boer op Sue onderzoekt de persoon.
De boer op Sue bekritiseert	De boer op Sue bekritiseren	bekritiseert	bekritiseren	1	4	singular	De boer op Sue bekritiseert de persoon.
De boer op Sue stimuleert	De boer op Sue stimuleren	stimuleert	stimuleren	1	4	singular	De boer op Sue stimuleert de persoon.
De boer op Sue vermijdt	De boer op Sue vermijden	vermijdt	vermijden	1	4	singular	De boer op Sue vermijdt de persoon.
De boer op Sue groet	De boer op Sue groeten	groet	groeten	1	4	singular	De boer op Sue groet de persoon.
De boer op Sue herkent	De boer op Sue herkennen	herkent	herkennen	1	4	singular	De boer op Sue herkent de persoon.
