agreement	disagreement	correct_verb	incorrect_verb	subject_index	verb_index	number1	number2	completed
De vriend naast de fiets stimuleert	De vriend naast de fiets stimuleren	stimuleert	stimuleren	1	5	singular	singular	De vriend naast de fiets stimuleert de persoon.
De moeder onder de fiets vermijdt	De moeder onder de fiets vermijden	vermijdt	vermijden	1	5	singular	singular	De moeder onder de fiets vermijdt de persoon.
De advocaat bij de vrachtwagen bekritiseert	De advocaat bij de vrachtwagen bekritiseren	bekritiseert	bekritiseren	1	5	singular	singular	De advocaat bij de vrachtwagen bekritiseert de persoon.
De inwoner naast het bureau vertrouwt	De inwoner naast het bureau vertrouwen	vertrouwt	vertrouwen	1	5	singular	singular	De inwoner naast het bureau vertrouwt de persoon.
De oom onder de tafel onderzoekt	De oom onder de tafel onderzoeken	onderzoekt	onderzoeken	1	5	singular	singular	De oom onder de tafel onderzoekt de persoon.
De oom op de vrachtwagen bekritiseert	De oom op de vrachtwagen bekritiseren	bekritiseert	bekritiseren	1	5	singular	singular	De oom op de vrachtwagen bekritiseert de persoon.
De inwoner naast de fiets vermijdt	De inwoner naast de fiets vermijden	vermijdt	vermijden	1	5	singular	singular	De inwoner naast de fiets vermijdt de persoon.
De inwoner op het bureau begrijpt	De inwoner op het bureau begrijpen	begrijpt	begrijpen	1	5	singular	singular	De inwoner op het bureau begrijpt de persoon.
De atleet onder de boom kent	De atleet onder de boom kennen	kent	kennen	1	5	singular	singular	De atleet onder de boom kent de persoon.
De oom bij de tafel ziet	De oom bij de tafel zien	ziet	zien	1	5	singular	singular	De oom bij de tafel ziet de persoon.
De advocaat op het bureau vermijdt	De advocaat op het bureau vermijden	vermijdt	vermijden	1	5	singular	singular	De advocaat op het bureau vermijdt de persoon.
De meid op het bureau kent	De meid op het bureau kennen	kent	kennen	1	5	singular	singular	De meid op het bureau kent de persoon.
De persoon bij de fiets groet	De persoon bij de fiets groeten	groet	groeten	1	5	singular	singular	De persoon bij de fiets groet de persoon.
De atleet bij de boom bekritiseert	De atleet bij de boom bekritiseren	bekritiseert	bekritiseren	1	5	singular	singular	De atleet bij de boom bekritiseert de persoon.
De winnaar bij de fiets roept	De winnaar bij de fiets roepen	roept	roepen	1	5	singular	singular	De winnaar bij de fiets roept de persoon.
De man onder het raam ziet	De man onder het raam zien	ziet	zien	1	5	singular	singular	De man onder het raam ziet de persoon.
De boer bij de boom verleidt	De boer bij de boom verleiden	verleidt	verleiden	1	5	singular	singular	De boer bij de boom verleidt de persoon.
De oom onder de fiets verleidt	De oom onder de fiets verleiden	verleidt	verleiden	1	5	singular	singular	De oom onder de fiets verleidt de persoon.
De advocaat naast de vrachtwagen stimuleert	De advocaat naast de vrachtwagen stimuleren	stimuleert	stimuleren	1	5	singular	singular	De advocaat naast de vrachtwagen stimuleert de persoon.
De inwoner bij de stoel begrijpt	De inwoner bij de stoel begrijpen	begrijpt	begrijpen	1	5	singular	singular	De inwoner bij de stoel begrijpt de persoon.
De vader op het raam stimuleert	De vader op het raam stimuleren	stimuleert	stimuleren	1	5	singular	singular	De vader op het raam stimuleert de persoon.
De advocaat bij de fiets begrijpt	De advocaat bij de fiets begrijpen	begrijpt	begrijpen	1	5	singular	singular	De advocaat bij de fiets begrijpt de persoon.
De inwoner bij het bureau ziet	De inwoner bij het bureau zien	ziet	zien	1	5	singular	singular	De inwoner bij het bureau ziet de persoon.
De persoon naast de fiets herkent	De persoon naast de fiets herkennen	herkent	herkennen	1	5	singular	singular	De persoon naast de fiets herkent de persoon.
De vader bij de tafel kent	De vader bij de tafel kennen	kent	kennen	1	5	singular	singular	De vader bij de tafel kent de persoon.
De boer achter de fiets roept	De boer achter de fiets roepen	roept	roepen	1	5	singular	singular	De boer achter de fiets roept de persoon.
De winnaar naast de boom groet	De winnaar naast de boom groeten	groet	groeten	1	5	singular	singular	De winnaar naast de boom groet de persoon.
De atleet bij de boom steunt	De atleet bij de boom steunen	steunt	steunen	1	5	singular	singular	De atleet bij de boom steunt de persoon.
De vader op de vrachtwagen herkent	De vader op de vrachtwagen herkennen	herkent	herkennen	1	5	singular	singular	De vader op de vrachtwagen herkent de persoon.
De inwoner onder de tafel mist	De inwoner onder de tafel missen	mist	missen	1	5	singular	singular	De inwoner onder de tafel mist de persoon.
De vriend op de boom mist	De vriend op de boom missen	mist	missen	1	5	singular	singular	De vriend op de boom mist de persoon.
De oom onder het raam begrijpt	De oom onder het raam begrijpen	begrijpt	begrijpen	1	5	singular	singular	De oom onder het raam begrijpt de persoon.
De man achter de vrachtwagen onderzoekt	De man achter de vrachtwagen onderzoeken	onderzoekt	onderzoeken	1	5	singular	singular	De man achter de vrachtwagen onderzoekt de persoon.
De atleet achter het bureau steunt	De atleet achter het bureau steunen	steunt	steunen	1	5	singular	singular	De atleet achter het bureau steunt de persoon.
De oom naast de tafel groet	De oom naast de tafel groeten	groet	groeten	1	5	singular	singular	De oom naast de tafel groet de persoon.
De atleet op de boom steunt	De atleet op de boom steunen	steunt	steunen	1	5	singular	singular	De atleet op de boom steunt de persoon.
De vriend bij de vrachtwagen vertrouwt	De vriend bij de vrachtwagen vertrouwen	vertrouwt	vertrouwen	1	5	singular	singular	De vriend bij de vrachtwagen vertrouwt de persoon.
De oom bij de boom verleidt	De oom bij de boom verleiden	verleidt	verleiden	1	5	singular	singular	De oom bij de boom verleidt de persoon.
De vriend onder het raam steunt	De vriend onder het raam steunen	steunt	steunen	1	5	singular	singular	De vriend onder het raam steunt de persoon.
De atleet naast de stoel kent	De atleet naast de stoel kennen	kent	kennen	1	5	singular	singular	De atleet naast de stoel kent de persoon.
De winnaar op het bureau onderzoekt	De winnaar op het bureau onderzoeken	onderzoekt	onderzoeken	1	5	singular	singular	De winnaar op het bureau onderzoekt de persoon.
De boer naast het bureau hoort	De boer naast het bureau horen	hoort	horen	1	5	singular	singular	De boer naast het bureau hoort de persoon.
De inwoner bij het bureau roept	De inwoner bij het bureau roepen	roept	roepen	1	5	singular	singular	De inwoner bij het bureau roept de persoon.
De persoon onder de fiets herkent	De persoon onder de fiets herkennen	herkent	herkennen	1	5	singular	singular	De persoon onder de fiets herkent de persoon.
De advocaat onder het raam hoort	De advocaat onder het raam horen	hoort	horen	1	5	singular	singular	De advocaat onder het raam hoort de persoon.
De schrijver bij de vrachtwagen bekritiseert	De schrijver bij de vrachtwagen bekritiseren	bekritiseert	bekritiseren	1	5	singular	singular	De schrijver bij de vrachtwagen bekritiseert de persoon.
De oom naast de fiets bekritiseert	De oom naast de fiets bekritiseren	bekritiseert	bekritiseren	1	5	singular	singular	De oom naast de fiets bekritiseert de persoon.
De atleet naast de boom vertrouwt	De atleet naast de boom vertrouwen	vertrouwt	vertrouwen	1	5	singular	singular	De atleet naast de boom vertrouwt de persoon.
De persoon achter de fiets herkent	De persoon achter de fiets herkennen	herkent	herkennen	1	5	singular	singular	De persoon achter de fiets herkent de persoon.
De meid bij de tafel steunt	De meid bij de tafel steunen	steunt	steunen	1	5	singular	singular	De meid bij de tafel steunt de persoon.
De tante bij de fiets vertrouwt	De tante bij de fiets vertrouwen	vertrouwt	vertrouwen	1	5	singular	singular	De tante bij de fiets vertrouwt de persoon.
De schrijver achter het bureau groet	De schrijver achter het bureau groeten	groet	groeten	1	5	singular	singular	De schrijver achter het bureau groet de persoon.
De meid achter de boom verleidt	De meid achter de boom verleiden	verleidt	verleiden	1	5	singular	singular	De meid achter de boom verleidt de persoon.
De inwoner op de boom ziet	De inwoner op de boom zien	ziet	zien	1	5	singular	singular	De inwoner op de boom ziet de persoon.
De advocaat naast het bureau herkent	De advocaat naast het bureau herkennen	herkent	herkennen	1	5	singular	singular	De advocaat naast het bureau herkent de persoon.
De vriend onder de fiets groet	De vriend onder de fiets groeten	groet	groeten	1	5	singular	singular	De vriend onder de fiets groet de persoon.
De man naast de vrachtwagen roept	De man naast de vrachtwagen roepen	roept	roepen	1	5	singular	singular	De man naast de vrachtwagen roept de persoon.
De winnaar naast de fiets groet	De winnaar naast de fiets groeten	groet	groeten	1	5	singular	singular	De winnaar naast de fiets groet de persoon.
De vader op de boom stimuleert	De vader op de boom stimuleren	stimuleert	stimuleren	1	5	singular	singular	De vader op de boom stimuleert de persoon.
De tante naast de fiets herkent	De tante naast de fiets herkennen	herkent	herkennen	1	5	singular	singular	De tante naast de fiets herkent de persoon.
De meid op de stoel hoort	De meid op de stoel horen	hoort	horen	1	5	singular	singular	De meid op de stoel hoort de persoon.
De tante bij het raam onderzoekt	De tante bij het raam onderzoeken	onderzoekt	onderzoeken	1	5	singular	singular	De tante bij het raam onderzoekt de persoon.
De atleet naast het raam vermijdt	De atleet naast het raam vermijden	vermijdt	vermijden	1	5	singular	singular	De atleet naast het raam vermijdt de persoon.
De moeder achter de vrachtwagen stimuleert	De moeder achter de vrachtwagen stimuleren	stimuleert	stimuleren	1	5	singular	singular	De moeder achter de vrachtwagen stimuleert de persoon.
De atleet onder de fiets begrijpt	De atleet onder de fiets begrijpen	begrijpt	begrijpen	1	5	singular	singular	De atleet onder de fiets begrijpt de persoon.
De schrijver achter de tafel bekritiseert	De schrijver achter de tafel bekritiseren	bekritiseert	bekritiseren	1	5	singular	singular	De schrijver achter de tafel bekritiseert de persoon.
De vader op het bureau kent	De vader op het bureau kennen	kent	kennen	1	5	singular	singular	De vader op het bureau kent de persoon.
De persoon naast het bureau kent	De persoon naast het bureau kennen	kent	kennen	1	5	singular	singular	De persoon naast het bureau kent de persoon.
De oom op de fiets verleidt	De oom op de fiets verleiden	verleidt	verleiden	1	5	singular	singular	De oom op de fiets verleidt de persoon.
De winnaar op de stoel verleidt	De winnaar op de stoel verleiden	verleidt	verleiden	1	5	singular	singular	De winnaar op de stoel verleidt de persoon.
De vader achter het raam mist	De vader achter het raam missen	mist	missen	1	5	singular	singular	De vader achter het raam mist de persoon.
De man naast het bureau kent	De man naast het bureau kennen	kent	kennen	1	5	singular	singular	De man naast het bureau kent de persoon.
De oom naast de boom mist	De oom naast de boom missen	mist	missen	1	5	singular	singular	De oom naast de boom mist de persoon.
De moeder naast de stoel kent	De moeder naast de stoel kennen	kent	kennen	1	5	singular	singular	De moeder naast de stoel kent de persoon.
De persoon naast de fiets begrijpt	De persoon naast de fiets begrijpen	begrijpt	begrijpen	1	5	singular	singular	De persoon naast de fiets begrijpt de persoon.
De winnaar op de stoel stimuleert	De winnaar op de stoel stimuleren	stimuleert	stimuleren	1	5	singular	singular	De winnaar op de stoel stimuleert de persoon.
De tante op de vrachtwagen herkent	De tante op de vrachtwagen herkennen	herkent	herkennen	1	5	singular	singular	De tante op de vrachtwagen herkent de persoon.
De oom bij het raam stimuleert	De oom bij het raam stimuleren	stimuleert	stimuleren	1	5	singular	singular	De oom bij het raam stimuleert de persoon.
De inwoner naast de tafel vertrouwt	De inwoner naast de tafel vertrouwen	vertrouwt	vertrouwen	1	5	singular	singular	De inwoner naast de tafel vertrouwt de persoon.
De moeder naast het bureau vermijdt	De moeder naast het bureau vermijden	vermijdt	vermijden	1	5	singular	singular	De moeder naast het bureau vermijdt de persoon.
De persoon onder de fiets bekritiseert	De persoon onder de fiets bekritiseren	bekritiseert	bekritiseren	1	5	singular	singular	De persoon onder de fiets bekritiseert de persoon.
De man onder de tafel stimuleert	De man onder de tafel stimuleren	stimuleert	stimuleren	1	5	singular	singular	De man onder de tafel stimuleert de persoon.
De meid op het raam bekritiseert	De meid op het raam bekritiseren	bekritiseert	bekritiseren	1	5	singular	singular	De meid op het raam bekritiseert de persoon.
De man achter de tafel stimuleert	De man achter de tafel stimuleren	stimuleert	stimuleren	1	5	singular	singular	De man achter de tafel stimuleert de persoon.
De inwoner onder de tafel ziet	De inwoner onder de tafel zien	ziet	zien	1	5	singular	singular	De inwoner onder de tafel ziet de persoon.
De man achter de stoel kent	De man achter de stoel kennen	kent	kennen	1	5	singular	singular	De man achter de stoel kent de persoon.
De oom naast het raam ziet	De oom naast het raam zien	ziet	zien	1	5	singular	singular	De oom naast het raam ziet de persoon.
De meid naast de tafel mist	De meid naast de tafel missen	mist	missen	1	5	singular	singular	De meid naast de tafel mist de persoon.
De advocaat onder het bureau verleidt	De advocaat onder het bureau verleiden	verleidt	verleiden	1	5	singular	singular	De advocaat onder het bureau verleidt de persoon.
De winnaar naast de vrachtwagen ziet	De winnaar naast de vrachtwagen zien	ziet	zien	1	5	singular	singular	De winnaar naast de vrachtwagen ziet de persoon.
De boer achter de stoel steunt	De boer achter de stoel steunen	steunt	steunen	1	5	singular	singular	De boer achter de stoel steunt de persoon.
De man onder de tafel groet	De man onder de tafel groeten	groet	groeten	1	5	singular	singular	De man onder de tafel groet de persoon.
De schrijver naast het raam stimuleert	De schrijver naast het raam stimuleren	stimuleert	stimuleren	1	5	singular	singular	De schrijver naast het raam stimuleert de persoon.
De tante naast het raam hoort	De tante naast het raam horen	hoort	horen	1	5	singular	singular	De tante naast het raam hoort de persoon.
De inwoner onder de stoel mist	De inwoner onder de stoel missen	mist	missen	1	5	singular	singular	De inwoner onder de stoel mist de persoon.
De man naast de fiets bekritiseert	De man naast de fiets bekritiseren	bekritiseert	bekritiseren	1	5	singular	singular	De man naast de fiets bekritiseert de persoon.
De tante naast de boom steunt	De tante naast de boom steunen	steunt	steunen	1	5	singular	singular	De tante naast de boom steunt de persoon.
De advocaat bij de tafel onderzoekt	De advocaat bij de tafel onderzoeken	onderzoekt	onderzoeken	1	5	singular	singular	De advocaat bij de tafel onderzoekt de persoon.
De vriend bij het raam steunt	De vriend bij het raam steunen	steunt	steunen	1	5	singular	singular	De vriend bij het raam steunt de persoon.
De schrijver op de vrachtwagen vertrouwt	De schrijver op de vrachtwagen vertrouwen	vertrouwt	vertrouwen	1	5	singular	singular	De schrijver op de vrachtwagen vertrouwt de persoon.
De winnaar bij de fiets hoort	De winnaar bij de fiets horen	hoort	horen	1	5	singular	singular	De winnaar bij de fiets hoort de persoon.
De tante naast het bureau kent	De tante naast het bureau kennen	kent	kennen	1	5	singular	singular	De tante naast het bureau kent de persoon.
De atleet naast het bureau onderzoekt	De atleet naast het bureau onderzoeken	onderzoekt	onderzoeken	1	5	singular	singular	De atleet naast het bureau onderzoekt de persoon.
De vriend achter de fiets herkent	De vriend achter de fiets herkennen	herkent	herkennen	1	5	singular	singular	De vriend achter de fiets herkent de persoon.
De tante achter de stoel roept	De tante achter de stoel roepen	roept	roepen	1	5	singular	singular	De tante achter de stoel roept de persoon.
De man bij de boom begrijpt	De man bij de boom begrijpen	begrijpt	begrijpen	1	5	singular	singular	De man bij de boom begrijpt de persoon.
De man bij het raam herkent	De man bij het raam herkennen	herkent	herkennen	1	5	singular	singular	De man bij het raam herkent de persoon.
De advocaat naast het bureau begrijpt	De advocaat naast het bureau begrijpen	begrijpt	begrijpen	1	5	singular	singular	De advocaat naast het bureau begrijpt de persoon.
De tante bij de fiets begrijpt	De tante bij de fiets begrijpen	begrijpt	begrijpen	1	5	singular	singular	De tante bij de fiets begrijpt de persoon.
De vader naast het bureau ziet	De vader naast het bureau zien	ziet	zien	1	5	singular	singular	De vader naast het bureau ziet de persoon.
De boer onder de fiets ziet	De boer onder de fiets zien	ziet	zien	1	5	singular	singular	De boer onder de fiets ziet de persoon.
De boer op de tafel onderzoekt	De boer op de tafel onderzoeken	onderzoekt	onderzoeken	1	5	singular	singular	De boer op de tafel onderzoekt de persoon.
De vader naast de boom herkent	De vader naast de boom herkennen	herkent	herkennen	1	5	singular	singular	De vader naast de boom herkent de persoon.
De moeder naast de stoel begrijpt	De moeder naast de stoel begrijpen	begrijpt	begrijpen	1	5	singular	singular	De moeder naast de stoel begrijpt de persoon.
De vriend op het raam vertrouwt	De vriend op het raam vertrouwen	vertrouwt	vertrouwen	1	5	singular	singular	De vriend op het raam vertrouwt de persoon.
De man achter de vrachtwagen stimuleert	De man achter de vrachtwagen stimuleren	stimuleert	stimuleren	1	5	singular	singular	De man achter de vrachtwagen stimuleert de persoon.
De tante bij de boom stimuleert	De tante bij de boom stimuleren	stimuleert	stimuleren	1	5	singular	singular	De tante bij de boom stimuleert de persoon.
De advocaat bij de vrachtwagen ziet	De advocaat bij de vrachtwagen zien	ziet	zien	1	5	singular	singular	De advocaat bij de vrachtwagen ziet de persoon.
De advocaat naast de stoel vermijdt	De advocaat naast de stoel vermijden	vermijdt	vermijden	1	5	singular	singular	De advocaat naast de stoel vermijdt de persoon.
De advocaat op de vrachtwagen roept	De advocaat op de vrachtwagen roepen	roept	roepen	1	5	singular	singular	De advocaat op de vrachtwagen roept de persoon.
De vriend achter de stoel begrijpt	De vriend achter de stoel begrijpen	begrijpt	begrijpen	1	5	singular	singular	De vriend achter de stoel begrijpt de persoon.
De vader achter het bureau bekritiseert	De vader achter het bureau bekritiseren	bekritiseert	bekritiseren	1	5	singular	singular	De vader achter het bureau bekritiseert de persoon.
De persoon naast het raam begrijpt	De persoon naast het raam begrijpen	begrijpt	begrijpen	1	5	singular	singular	De persoon naast het raam begrijpt de persoon.
De boer onder de fiets groet	De boer onder de fiets groeten	groet	groeten	1	5	singular	singular	De boer onder de fiets groet de persoon.
De atleet onder de boom groet	De atleet onder de boom groeten	groet	groeten	1	5	singular	singular	De atleet onder de boom groet de persoon.
De meid naast de vrachtwagen mist	De meid naast de vrachtwagen missen	mist	missen	1	5	singular	singular	De meid naast de vrachtwagen mist de persoon.
De man bij de boom verleidt	De man bij de boom verleiden	verleidt	verleiden	1	5	singular	singular	De man bij de boom verleidt de persoon.
De moeder onder het bureau verleidt	De moeder onder het bureau verleiden	verleidt	verleiden	1	5	singular	singular	De moeder onder het bureau verleidt de persoon.
De oom onder het raam ziet	De oom onder het raam zien	ziet	zien	1	5	singular	singular	De oom onder het raam ziet de persoon.
De schrijver achter de stoel steunt	De schrijver achter de stoel steunen	steunt	steunen	1	5	singular	singular	De schrijver achter de stoel steunt de persoon.
De moeder bij het raam verleidt	De moeder bij het raam verleiden	verleidt	verleiden	1	5	singular	singular	De moeder bij het raam verleidt de persoon.
De man bij de stoel herkent	De man bij de stoel herkennen	herkent	herkennen	1	5	singular	singular	De man bij de stoel herkent de persoon.
De man op de boom onderzoekt	De man op de boom onderzoeken	onderzoekt	onderzoeken	1	5	singular	singular	De man op de boom onderzoekt de persoon.
De vader achter de tafel roept	De vader achter de tafel roepen	roept	roepen	1	5	singular	singular	De vader achter de tafel roept de persoon.
De vriend achter het bureau begrijpt	De vriend achter het bureau begrijpen	begrijpt	begrijpen	1	5	singular	singular	De vriend achter het bureau begrijpt de persoon.
De meid op het bureau steunt	De meid op het bureau steunen	steunt	steunen	1	5	singular	singular	De meid op het bureau steunt de persoon.
De oom onder het bureau kent	De oom onder het bureau kennen	kent	kennen	1	5	singular	singular	De oom onder het bureau kent de persoon.
De inwoner onder de boom kent	De inwoner onder de boom kennen	kent	kennen	1	5	singular	singular	De inwoner onder de boom kent de persoon.
De boer onder de boom kent	De boer onder de boom kennen	kent	kennen	1	5	singular	singular	De boer onder de boom kent de persoon.
De moeder naast de stoel steunt	De moeder naast de stoel steunen	steunt	steunen	1	5	singular	singular	De moeder naast de stoel steunt de persoon.
De man onder de vrachtwagen stimuleert	De man onder de vrachtwagen stimuleren	stimuleert	stimuleren	1	5	singular	singular	De man onder de vrachtwagen stimuleert de persoon.
De boer achter de boom mist	De boer achter de boom missen	mist	missen	1	5	singular	singular	De boer achter de boom mist de persoon.
De schrijver achter het bureau vertrouwt	De schrijver achter het bureau vertrouwen	vertrouwt	vertrouwen	1	5	singular	singular	De schrijver achter het bureau vertrouwt de persoon.
De advocaat op de stoel bekritiseert	De advocaat op de stoel bekritiseren	bekritiseert	bekritiseren	1	5	singular	singular	De advocaat op de stoel bekritiseert de persoon.
De boer bij het raam verleidt	De boer bij het raam verleiden	verleidt	verleiden	1	5	singular	singular	De boer bij het raam verleidt de persoon.
De tante op de fiets ziet	De tante op de fiets zien	ziet	zien	1	5	singular	singular	De tante op de fiets ziet de persoon.
De winnaar onder het bureau kent	De winnaar onder het bureau kennen	kent	kennen	1	5	singular	singular	De winnaar onder het bureau kent de persoon.
De boer op de vrachtwagen steunt	De boer op de vrachtwagen steunen	steunt	steunen	1	5	singular	singular	De boer op de vrachtwagen steunt de persoon.
De atleet bij de tafel roept	De atleet bij de tafel roepen	roept	roepen	1	5	singular	singular	De atleet bij de tafel roept de persoon.
De meid achter de boom bekritiseert	De meid achter de boom bekritiseren	bekritiseert	bekritiseren	1	5	singular	singular	De meid achter de boom bekritiseert de persoon.
De oom achter de tafel vertrouwt	De oom achter de tafel vertrouwen	vertrouwt	vertrouwen	1	5	singular	singular	De oom achter de tafel vertrouwt de persoon.
De persoon achter de boom vertrouwt	De persoon achter de boom vertrouwen	vertrouwt	vertrouwen	1	5	singular	singular	De persoon achter de boom vertrouwt de persoon.
De vader onder de fiets herkent	De vader onder de fiets herkennen	herkent	herkennen	1	5	singular	singular	De vader onder de fiets herkent de persoon.
De winnaar bij de stoel ziet	De winnaar bij de stoel zien	ziet	zien	1	5	singular	singular	De winnaar bij de stoel ziet de persoon.
De moeder op de vrachtwagen kent	De moeder op de vrachtwagen kennen	kent	kennen	1	5	singular	singular	De moeder op de vrachtwagen kent de persoon.
De winnaar achter de stoel stimuleert	De winnaar achter de stoel stimuleren	stimuleert	stimuleren	1	5	singular	singular	De winnaar achter de stoel stimuleert de persoon.
De atleet naast het bureau groet	De atleet naast het bureau groeten	groet	groeten	1	5	singular	singular	De atleet naast het bureau groet de persoon.
De vriend op de boom ziet	De vriend op de boom zien	ziet	zien	1	5	singular	singular	De vriend op de boom ziet de persoon.
De tante achter de vrachtwagen roept	De tante achter de vrachtwagen roepen	roept	roepen	1	5	singular	singular	De tante achter de vrachtwagen roept de persoon.
De man naast het raam vertrouwt	De man naast het raam vertrouwen	vertrouwt	vertrouwen	1	5	singular	singular	De man naast het raam vertrouwt de persoon.
De moeder achter de boom vermijdt	De moeder achter de boom vermijden	vermijdt	vermijden	1	5	singular	singular	De moeder achter de boom vermijdt de persoon.
De atleet bij de fiets herkent	De atleet bij de fiets herkennen	herkent	herkennen	1	5	singular	singular	De atleet bij de fiets herkent de persoon.
De advocaat achter het raam begrijpt	De advocaat achter het raam begrijpen	begrijpt	begrijpen	1	5	singular	singular	De advocaat achter het raam begrijpt de persoon.
De meid bij het bureau bekritiseert	De meid bij het bureau bekritiseren	bekritiseert	bekritiseren	1	5	singular	singular	De meid bij het bureau bekritiseert de persoon.
De schrijver onder het bureau steunt	De schrijver onder het bureau steunen	steunt	steunen	1	5	singular	singular	De schrijver onder het bureau steunt de persoon.
De tante achter de boom groet	De tante achter de boom groeten	groet	groeten	1	5	singular	singular	De tante achter de boom groet de persoon.
De man op de boom steunt	De man op de boom steunen	steunt	steunen	1	5	singular	singular	De man op de boom steunt de persoon.
De vriend bij het bureau stimuleert	De vriend bij het bureau stimuleren	stimuleert	stimuleren	1	5	singular	singular	De vriend bij het bureau stimuleert de persoon.
De winnaar naast de fiets vertrouwt	De winnaar naast de fiets vertrouwen	vertrouwt	vertrouwen	1	5	singular	singular	De winnaar naast de fiets vertrouwt de persoon.
De schrijver onder het bureau kent	De schrijver onder het bureau kennen	kent	kennen	1	5	singular	singular	De schrijver onder het bureau kent de persoon.
De advocaat onder de boom mist	De advocaat onder de boom missen	mist	missen	1	5	singular	singular	De advocaat onder de boom mist de persoon.
De moeder achter het raam begrijpt	De moeder achter het raam begrijpen	begrijpt	begrijpen	1	5	singular	singular	De moeder achter het raam begrijpt de persoon.
De oom onder de boom stimuleert	De oom onder de boom stimuleren	stimuleert	stimuleren	1	5	singular	singular	De oom onder de boom stimuleert de persoon.
De meid op de fiets stimuleert	De meid op de fiets stimuleren	stimuleert	stimuleren	1	5	singular	singular	De meid op de fiets stimuleert de persoon.
De advocaat naast het bureau stimuleert	De advocaat naast het bureau stimuleren	stimuleert	stimuleren	1	5	singular	singular	De advocaat naast het bureau stimuleert de persoon.
